,AAPL,AMD,AMZN,BIDU,CAJ,CSCO,EBAY,FB,INTC,LOGM,MSFT,NVDA,ORCL,QCOM,TWTR,TXN
AAPL,1.0,0.10048969705163285,-0.01756190209633581,0.11067386608485698,0.06488707129841888,0.08418027200320931,0.062269146264392936,0.11120424605119542,0.16070625759607587,0.12044429559701463,0.07618383356358722,0.12885530234391118,0.09232202658609233,0.21923524539659883,0.27454564380625357,0.22049280904553062
AMD,0.10048969705163285,1.0,0.14810453419164982,0.10532130022154126,0.07132034185815042,0.03159029976433316,0.2056452588539524,0.12744618717943448,0.3251620971024136,0.09882201352903144,0.32143146157881164,0.27676373807106164,0.19090500606154023,0.21646981982645735,0.1463537165605266,0.26733812730465134
AMZN,-0.01756190209633581,0.14810453419164982,1.0,0.3271507324710265,0.23004531674807707,0.1656077789713717,0.3675220344639614,0.24494481174536303,0.24404564931371045,0.13025225514745162,0.2360023837801061,0.2785714819821332,0.2251711601999952,0.33667695945381076,0.17235196394813712,0.36241159731275485
BIDU,0.11067386608485698,0.10532130022154126,0.3271507324710265,1.0,0.05800813803372302,0.11043334685427245,0.2142306554344174,0.3559161919661718,0.17877811777885333,0.03710130844775857,0.11662394075881617,0.2709857710527948,0.16895879270412137,0.2172997580315936,-0.06861371170823746,0.30194159664410336
CAJ,0.06488707129841888,0.07132034185815042,0.23004531674807707,0.05800813803372302,1.0,0.15330146076550707,0.21584811055561837,0.10341212377294486,0.18942220658155556,0.06290823908401509,0.042079518352875135,0.17052771857008125,0.06083744674433913,0.2429399463531043,-0.19309456360675525,0.32081700088935794
CSCO,0.08418027200320931,0.03159029976433316,0.1656077789713717,0.11043334685427245,0.15330146076550707,1.0,0.1842053249677074,0.06545015551063307,0.22305329257779796,0.1642359644206028,0.19073735859941376,0.2260960227442723,0.4137285411953049,0.13435013351913472,-0.21802131549725592,0.2943683410772346
EBAY,0.062269146264392936,0.2056452588539524,0.3675220344639614,0.2142306554344174,0.21584811055561837,0.1842053249677074,1.0,0.1963464548784338,0.2712291260451818,0.18471703756516428,0.23442186881268198,0.32779657145686797,0.25602484913425555,0.3705205983340024,0.0320964885683113,0.444667348671569
FB,0.11120424605119542,0.12744618717943448,0.24494481174536303,0.3559161919661718,0.10341212377294486,0.06545015551063307,0.1963464548784338,1.0,0.15115631513915434,0.06926752873299383,0.06767967815488699,0.19299452194253652,0.07002703277598396,0.258140731050533,0.6266743175094489,0.18495650626245014
INTC,0.16070625759607587,0.3251620971024136,0.24404564931371045,0.17877811777885333,0.18942220658155556,0.22305329257779796,0.2712291260451818,0.15115631513915434,1.0,0.1716600534934867,0.28629310149797943,0.2811844552253913,0.3028102755437233,0.36668402317834425,0.11321075957665287,0.4832890961046306
LOGM,0.12044429559701463,0.09882201352903144,0.13025225514745162,0.03710130844775857,0.06290823908401509,0.1642359644206028,0.18471703756516428,0.06926752873299383,0.1716600534934867,1.0,0.1350723907525917,0.14902102066237335,0.14461912989628445,0.14988083414223063,-0.18095122777919886,0.21946191231558582
MSFT,0.07618383356358722,0.32143146157881164,0.2360023837801061,0.11662394075881617,0.042079518352875135,0.19073735859941376,0.23442186881268198,0.06767967815488699,0.28629310149797943,0.1350723907525917,1.0,0.2602742040148673,0.23805932115667455,0.202266603138327,0.018299788410676854,0.2740298322081057
NVDA,0.12885530234391118,0.27676373807106164,0.2785714819821332,0.2709857710527948,0.17052771857008125,0.2260960227442723,0.32779657145686797,0.19299452194253652,0.2811844552253913,0.14902102066237335,0.2602742040148673,1.0,0.2869404494299145,0.27735980241021485,-0.20994101611861254,0.4103228869181687
ORCL,0.09232202658609233,0.19090500606154023,0.2251711601999952,0.16895879270412137,0.06083744674433913,0.4137285411953049,0.25602484913425555,0.07002703277598396,0.3028102755437233,0.14461912989628445,0.23805932115667455,0.2869404494299145,1.0,0.21553784971363033,-0.15250984145955987,0.39064079916420713
QCOM,0.21923524539659883,0.21646981982645735,0.33667695945381076,0.2172997580315936,0.2429399463531043,0.13435013351913472,0.3705205983340024,0.258140731050533,0.36668402317834425,0.14988083414223063,0.202266603138327,0.27735980241021485,0.21553784971363033,1.0,-0.042328736476940264,0.49483401802523314
TWTR,0.27454564380625357,0.1463537165605266,0.17235196394813712,-0.06861371170823746,-0.19309456360675525,-0.21802131549725592,0.0320964885683113,0.6266743175094489,0.11321075957665287,-0.18095122777919886,0.018299788410676854,-0.20994101611861254,-0.15250984145955987,-0.042328736476940264,1.0,-0.14505982873174791
TXN,0.22049280904553062,0.26733812730465134,0.36241159731275485,0.30194159664410336,0.32081700088935794,0.2943683410772346,0.444667348671569,0.18495650626245014,0.4832890961046306,0.21946191231558582,0.2740298322081057,0.4103228869181687,0.39064079916420713,0.49483401802523314,-0.14505982873174791,1.0
